ProjectID,ProjectAKA,OrganizationName,ProjectName,TargetPop,ProjectCountyServed,ProjectAreaServed,ProjectHours,ProjectTelNo,OrgLink,CoCCode,Addresses,City
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Erie,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Hancock,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Huron,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Ottawa,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Sandusky,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Seneca,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wood,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wyandot,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,General,Sandusky,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Erie,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Hancock,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Huron,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Ottawa,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Sandusky,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Seneca,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wood,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wyandot,SSVF Great Lakes Community Action Partnership,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1851,Catholic Charities Corporation St. Elizabeth's Center,Catholic Charities Corporation,Lorain - Catholic Charities Corporation - St. Elizabeth's Center - AP,General,Lorain,Homeless Planning Region 04,"Mon - Fri, 8:00am - 5:00pm",440-242-0455,<a href='https://ccdocle.org/facility/stelizabethcenter' target='_blank'>Catholic Charities Corporation St. Elizabeth's Center</a><small> (#1851)</small>,OH-507,2726 Caroline Ave,"Lorain, OH 44055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,General,Licking,Homeless Planning Region 09,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Coshocton,Homeless Planning Region 09,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Holmes,Homeless Planning Region 09,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Knox,Homeless Planning Region 09,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Licking,Homeless Planning Region 09,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,General,Licking,SSVF Licking County Coalition for Housing,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Coshocton,SSVF Licking County Coalition for Housing,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Holmes,SSVF Licking County Coalition for Housing,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Knox,SSVF Licking County Coalition for Housing,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1875,Licking County Coalition for Housing,Licking County Coalition for Housing,Licking - LCCH AP,Veterans,Licking,SSVF Licking County Coalition for Housing,"Mon - Fri, 8:30am - 12:30pm, 1:30pm - 4:30pm",740-345-1970 x1,<a href='http://lcchousing.org/' target='_blank'>Licking County Coalition for Housing</a><small> (#1875)</small>,OH-507,23 S. Park Place,"Newark, OH 43055"
1929,The Main Place,The Main Place,Licking - The Main Place - AP,General,Licking,Homeless Planning Region 09,"Mon - Fri, 8:00am - 4:00pm",740-345-6246,<a href='http://www.themainplace.org/' target='_blank'>The Main Place</a><small> (#1929)</small>,OH-507,112 South 3rd Street,"Newark, OH 43055"
1932,Miller Community House,"Family and Community Services, Inc.",Portage - Family and Community Services - Miller Community House - AP,General,Portage,Homeless Planning Region 05,24/7,330-673-0034,<a href='https://fcsserves.org/program/miller-community-house/' target='_blank'>Miller Community House</a><small> (#1932)</small>,OH-507,1211 Anita Dr,"Kent, OH 44240"
1933,Columbiana County Mental Health Clinic,Columbiana County Mental Health Clinic,Columbiana - Columbiana County MHC - AP,General,Columbiana,Homeless Planning Region 06,"Mon - Thur, 8:00am - 9:00pm, Fri, 8:00am - 5:00pm",330-424-9573,<a href='https://colmhc.org/' target='_blank'>Columbiana County Mental Health Clinic</a><small> (#1933)</small>,OH-507,40722 State Route 154,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,General,Columbiana,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Carroll,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Columbiana,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Harrison,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Jefferson,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Tuscarawas,Homeless Planning Region 06,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,General,Columbiana,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Carroll,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Columbiana,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Harrison,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Jefferson,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1934,Community Action Agency of Columbiana,Community Action Agency of Columbiana County,Columbiana - Community Action Agency of Columbiana - AP,Veterans,Tuscarawas,SSVF Community Action Agency of Columbiana County,"Mon - Fri, 8:00am - 4:00pm",330-424-4013,<a href='http://www.caaofcc.org/' target='_blank'>Community Action Agency of Columbiana</a><small> (#1934)</small>,OH-507,7880 Lincole Pl,"Lisbon, OH 44432"
1935,Friends of the Homeless,"Friends of the Homeless, Tuscarawas County",Tuscarawas - Friends of the Homeless - Tuscarawas County Shelter - AP,General,Tuscarawas,Homeless Planning Region 06,"Mon - Fri, 8:30am - 4:30pm",330-602-6100,<a href='https://www.fothtusc.org/index.php' target='_blank'>Friends of the Homeless</a><small> (#1935)</small>,OH-507,211 E. High Avenue,"New Philadelphia, OH 44663"
1936,Jefferson Community Action Council,Jefferson County CAC,Jefferson - Jefferson County CAC - AP,General,Harrison,Homeless Planning Region 06,"Mon - Fri, 8:30am - 4:30pm",740-282-0971 x161,<a href='https://jeffersoncountycac.doodlekit.com/' target='_blank'>Jefferson Community Action Council</a><small> (#1936)</small>,OH-507,114 N. 4th Street,"Steubenville, OH 43952"
1936,Jefferson Community Action Council,Jefferson County CAC,Jefferson - Jefferson County CAC - AP,General,Jefferson,Homeless Planning Region 06,"Mon - Fri, 8:30am - 4:30pm",740-282-0971 x161,<a href='https://jeffersoncountycac.doodlekit.com/' target='_blank'>Jefferson Community Action Council</a><small> (#1936)</small>,OH-507,114 N. 4th Street,"Steubenville, OH 43952"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Defiance,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Fulton,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Henry,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Paulding,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Van Wert,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1938,Northwestern Ohio Community Action Commission PATH Center,"Northwestern Ohio Community Action Commission, Inc.",Defiance - Northwestern Ohio CAC - The PATH Center - AP,General,Williams,Homeless Planning Region 01,"Mon - Fri, 8:00am - 5:00pm",419-782-6962,<a href='https://www.nocac.org/' target='_blank'>Northwestern Ohio Community Action Commission PATH Center</a><small> (#1938)</small>,OH-507,1939 E. Second Street,"Defiance, OH 43512"
1939,Catholic Charities,Catholic Charities Diocese of Toledo,Richland - Catholic Charities Diocese of Toledo - AP,General,Richland,Homeless Planning Region 02,"Mon - Fri, 8:30am - 4:30pm",419-524-0733,<a href='https://catholiccharitiesnwo.org/category/mansfield/' target='_blank'>Catholic Charities</a><small> (#1939)</small>,OH-507,35 N. Park Street,"Mansfield, OH 44902"
