ProjectType,AltProjectName,DQIssues,DQCohort,DQPercent,DQPoints,DQMath,DQPossible,NoIncomeAtEntry,NoIncomeAtEntryCohort,NoIncomeAtEntryMath,NoIncomeAtEntryPercent,NoIncomeAtEntryPoints,NoIncomeAtEntryPossible,NoIncomeAtEntryDQ,ExitsToPH,ExitsToPHMath,ExitsToPHPercent,ExitsToPHPoints,ExitsToPHPossible,ExitsToPHDQ,ExitsToPHCohort,ScoredAtEntry,ScoredAtEntryMath,ScoredAtEntryPercent,ScoredAtEntryPoints,ScoredAtEntryCohort,ScoredAtEntryPossible,ScoredAtEntryDQ,MedHHI,MedianHHIMath,MedianHHICohort,MedianHHIPoints,MedianHHIPossible,MedianHHIDQ,IncreasedIncome,IncreasedIncomeCohort,IncreasedIncomeMath,IncreasedIncomePercent,IncreasedIncomePoints,IncreasedIncomePossible,IncreasedIncomeDQ,AverageLoSMath,AverageLoSCohort,AverageLoSPoints,AverageLoSPossible,AverageLoSDQ,LongTermHomeless,LongTermHomelessPercent,LongTermHomelessPoints,LongTermHomelessMath,LongTermhomelessCohort,LongTermHomelessPossible,LTHomelessDQ,BenefitsAtExitCohort,BenefitsAtExit,BenefitsAtExitMath,BenefitsAtExitPercent,BenefitsAtExitPoints,BenefitsAtExitPossible,BenefitsAtExitDQ,OwnHousingCohort,OwnHousing,OwnHousingMath,OwnHousingPercent,OwnHousingPoints,OwnHousingPossible,OwnHousingDQ,LHResPrior,LHResPriorCohort,LHResPriorMath,LHResPriorPercent,LHResPriorPoints,LHResPriorPossible,LHResPriorDQ,ProjectID,AltProjectID,CostPerExit,DateReceivedPPDocs,HousingFirstScore,ChronicPrioritizationScore,OnTrackSpendingScoring,UnspentFundsScoring,CostPerExitScore,CostPerExitPossible,CostPerExitMath,OnTrackSpendingPossible,OnTrackSpendingMath,UnspentFundsPossible,UnspentFundsMath,HousingFirstPossible,HousingFirstDQ,HousingFirstMath,ChronicPrioritizationDQ,ChronicPrioritizationPossible,ChronicPrioritizationMath
2,Lorain - YWCA of Elyria - Women's Campus Project - TH,6,ClientsServed,0.13333333333333333,0,6 errors / 45 clients served = 13%,5,7,AdultsEntered,7 had no income at entry / 13 adults who entered the project during the reporting period = 54%,0.5384615384615384,0,10,1,12,12 exits to permanent housing / 16 heads of household leavers = 75%,0.75,5,10,0,HoHsServedLeavers,13,13 had a VI-SPDAT score at entry / 13 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,7,10,0,8,AdultsMovedIn,8 increased income during their stay / 18 adults who moved into the project's housing = 44%,0.4444444444444444,0,10,1,201 average days,ClientsMovedInLeavers,7.5,10,0,2,0.15384615384615385,0,2 considered to be long-term homeless / 13 adults entered the project during the reporting period = 15%,AdultsEntered,NA,0,AdultMovedInLeavers,12,12 exited with benefits or health insurance / 12 adult leavers who moved into the project's housing = 100%,1,10,10,0,HoHsMovedInLeavers,11,11 exited to their own permanent housing / 12 heads of household leavers who moved into housing = 92%,0.9166666666666666,5,5,0,13,AdultsEntered,13 coming from shelter or streets (unsheltered) / 13 adults who entered the project during the reporting period = 100%,1,10,10,0,124,124,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
2,Erie - VOA of Ohio and Indiana - Crossroads Supportive housing program - TH,0,ClientsServed,0,5,0 errors / 193 clients served = 0%,5,31,AdultsEntered,31 had no income at entry / 69 adults who entered the project during the reporting period = 45%,0.4492753623188406,10,10,0,55,55 exits to permanent housing / 69 heads of household leavers = 80%,0.7971014492753623,7.5,10,0,HoHsServedLeavers,51,51 had a VI-SPDAT score at entry / 55 heads of household who entered the project during the reporting period = 93%,0.9272727272727272,2,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,7,10,0,35,AdultsMovedIn,35 increased income during their stay / 92 adults who moved into the project's housing = 38%,0.3804347826086957,10,10,0,81 average days,ClientsMovedInLeavers,10,10,0,6,0.08695652173913043,0,6 considered to be long-term homeless / 69 adults entered the project during the reporting period = 9%,AdultsEntered,NA,0,AdultMovedInLeavers,70,70 exited with benefits or health insurance / 75 adult leavers who moved into the project's housing = 93%,0.9333333333333333,10,10,0,HoHsMovedInLeavers,43,43 exited to their own permanent housing / 59 heads of household leavers who moved into housing = 73%,0.7288135593220338,2,5,0,69,AdultsEntered,69 coming from shelter or streets (unsheltered) / 69 adults who entered the project during the reporting period = 100%,1,10,10,0,134,134,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,Lorain - Lorain County Board of Mental Health - Lorain Shelter Plus Care - PSH,2,ClientsServed,0.022222222222222223,3,2 errors / 90 clients served = 2%,5,4,AdultsEntered,4 had no income at entry / 6 adults who entered the project during the reporting period = 67%,0.6666666666666666,10,10,0,68,68 exits to permanent housing or retention in PSH / 71 heads of household = 96%,0.9577464788732394,12,12,0,HoHsServedLeavers,4,4 had a VI-SPDAT score at entry / 6 heads of household who entered the project during the reporting period = 67%,0.6666666666666666,0,HoHsEntered,5,0,7,Median Homeless History Index =  7,AdultsEntered,10,10,0,47,AdultsMovedIn,47 increased income during their stay / 72 adults who moved into the project's housing = 65%,0.6527777777777778,11,11,0,3043 average days,ClientsMovedInLeavers,0,NA,NA,6,1,10,6 considered to be long-term homeless / 6 adults entered the project during the reporting period = 100%,AdultsEntered,10,0,AdultMovedInLeavers,9,9 exited with benefits or health insurance / 9 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,6,AdultsEntered,6 coming from shelter or streets (unsheltered) / 6 adults who entered the project during the reporting period = 100%,1,10,10,0,137,137,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Lawrence - Ironton Lawrence CAO - One Stop TH Program - TH,0,ClientsServed,0,5,0 errors / 87 clients served = 0%,5,26,AdultsEntered,26 had no income at entry / 45 adults who entered the project during the reporting period = 58%,0.5777777777777777,10,10,0,23,23 exits to permanent housing / 38 heads of household leavers = 61%,0.6052631578947368,0,10,0,HoHsServedLeavers,36,36 had a VI-SPDAT score at entry / 36 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,1,Median Homeless History Index =  1,AdultsEntered,5,10,0,34,AdultsMovedIn,34 increased income during their stay / 55 adults who moved into the project's housing = 62%,0.6181818181818182,10,10,0,157 average days,ClientsMovedInLeavers,10,10,0,0,0,0,0 considered to be long-term homeless / 45 adults entered the project during the reporting period = 0%,AdultsEntered,NA,0,AdultMovedInLeavers,27,27 exited with benefits or health insurance / 27 adult leavers who moved into the project's housing = 100%,1,10,10,0,HoHsMovedInLeavers,22,22 exited to their own permanent housing / 22 heads of household leavers who moved into housing = 100%,1,5,5,0,45,AdultsEntered,45 coming from shelter or streets (unsheltered) / 45 adults who entered the project during the reporting period = 100%,1,10,10,0,138,138,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,Washington - City of Marietta - Marietta Washington Shelter Plus Care - PSH,0,ClientsServed,0,5,0 errors / 8 clients served = 0%,5,1,AdultsEntered,1 had no income at entry / 2 adults who entered the project during the reporting period = 50%,0.5,10,10,0,8,8 exits to permanent housing or retention in PSH / 8 heads of household = 100%,1,12,12,0,HoHsServedLeavers,2,2 had a VI-SPDAT score at entry / 2 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,5.5,Median Homeless History Index =  5.5,AdultsEntered,9,10,0,3,AdultsMovedIn,3 increased income during their stay / 8 adults who moved into the project's housing = 38%,0.375,11,11,0,1268 average days,ClientsMovedInLeavers,0,NA,NA,1,0.5,6,1 considered to be long-term homeless / 2 adults entered the project during the reporting period = 50%,AdultsEntered,10,0,AdultMovedInLeavers,2,2 exited with benefits or health insurance / 2 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,2,AdultsEntered,2 coming from shelter or streets (unsheltered) / 2 adults who entered the project during the reporting period = 100%,1,10,10,0,142,142,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Trumbull - Trumbull County MH&RB - Joey's Landing - PSH,0,ClientsServed,0,5,0 errors / 9 clients served = 0%,5,0,AdultsEntered,0 had no income at entry / 2 adults who entered the project during the reporting period = 0%,0,0,10,0,9,9 exits to permanent housing or retention in PSH / 9 heads of household = 100%,1,12,12,0,HoHsServedLeavers,2,2 had a VI-SPDAT score at entry / 2 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,4.5,Median Homeless History Index =  4.5,AdultsEntered,8,10,0,5,AdultsMovedIn,5 increased income during their stay / 9 adults who moved into the project's housing = 56%,0.5555555555555556,11,11,0,650 average days,ClientsMovedInLeavers,0,NA,NA,1,0.5,6,1 considered to be long-term homeless / 2 adults entered the project during the reporting period = 50%,AdultsEntered,10,0,AdultMovedInLeavers,2,2 exited with benefits or health insurance / 2 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,2,AdultsEntered,2 coming from shelter or streets (unsheltered) / 2 adults who entered the project during the reporting period = 100%,1,10,10,0,145,145,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Licking -  Licking MHA - Licking Shelter Plus Care - PSH,0,ClientsServed,0,5,0 errors / 92 clients served = 0%,5,14,AdultsEntered,14 had no income at entry / 22 adults who entered the project during the reporting period = 64%,0.6363636363636364,10,10,0,53,53 exits to permanent housing or retention in PSH / 54 heads of household = 98%,0.9814814814814815,12,12,0,HoHsServedLeavers,9,9 had a VI-SPDAT score at entry / 20 heads of household who entered the project during the reporting period = 45%,0.45,0,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,5,10,0,30,AdultsMovedIn,30 increased income during their stay / 62 adults who moved into the project's housing = 48%,0.4838709677419355,11,11,0,864 average days,ClientsMovedInLeavers,0,NA,NA,4,0.18181818181818182,0,4 considered to be long-term homeless / 22 adults entered the project during the reporting period = 18%,AdultsEntered,10,0,AdultMovedInLeavers,18,18 exited with benefits or health insurance / 18 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,22,AdultsEntered,22 coming from shelter or streets (unsheltered) / 22 adults who entered the project during the reporting period = 100%,1,10,10,0,148,148,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Athens - Athens MHA - Athens Shelter Plus Care - Tenant Based SPC - PSH,0,ClientsServed,0,5,0 errors / 160 clients served = 0%,5,30,AdultsEntered,30 had no income at entry / 48 adults who entered the project during the reporting period = 62%,0.625,10,10,0,76,76 exits to permanent housing or retention in PSH / 77 heads of household = 99%,0.987012987012987,12,12,0,HoHsServedLeavers,40,40 had a VI-SPDAT score at entry / 40 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,5,10,0,28,AdultsMovedIn,28 increased income during their stay / 65 adults who moved into the project's housing = 43%,0.4307692307692308,11,11,0,607 average days,ClientsMovedInLeavers,0,NA,NA,4,0.08333333333333333,0,4 considered to be long-term homeless / 48 adults entered the project during the reporting period = 8%,AdultsEntered,10,0,AdultMovedInLeavers,18,18 exited with benefits or health insurance / 18 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,43,AdultsEntered,43 coming from shelter or streets (unsheltered) / 48 adults who entered the project during the reporting period = 90%,0.8958333333333334,10,10,0,150,150,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Greene - Miami Valley Community Action Partnership - Harding Place Transitional Housing - TH,1,ClientsServed,0.02,4,1 errors / 50 clients served = 2%,5,27,AdultsEntered,27 had no income at entry / 35 adults who entered the project during the reporting period = 77%,0.7714285714285715,10,10,0,30,30 exits to permanent housing / 50 heads of household leavers = 60%,0.6,0,10,0,HoHsServedLeavers,35,35 had a VI-SPDAT score at entry / 35 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,6,Median Homeless History Index =  6,AdultsEntered,10,10,0,24,AdultsMovedIn,24 increased income during their stay / 50 adults who moved into the project's housing = 48%,0.48,10,10,0,208 average days,ClientsMovedInLeavers,7.5,10,0,12,0.34285714285714286,0,12 considered to be long-term homeless / 35 adults entered the project during the reporting period = 34%,AdultsEntered,NA,0,AdultMovedInLeavers,34,34 exited with benefits or health insurance / 35 adult leavers who moved into the project's housing = 97%,0.9714285714285714,0,10,1,HoHsMovedInLeavers,19,19 exited to their own permanent housing / 35 heads of household leavers who moved into housing = 54%,0.5428571428571428,0,5,0,34,AdultsEntered,34 coming from shelter or streets (unsheltered) / 35 adults who entered the project during the reporting period = 97%,0.9714285714285714,10,10,0,157,157,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,Lorain - New Sunrise Properties Inc. - Supportive Housing - PSH,1,ClientsServed,0.07142857142857142,2,1 errors / 14 clients served = 7%,5,2,AdultsEntered,2 had no income at entry / 2 adults who entered the project during the reporting period = 100%,1,10,10,0,11,11 exits to permanent housing or retention in PSH / 11 heads of household = 100%,1,12,12,0,HoHsServedLeavers,2,2 had a VI-SPDAT score at entry / 2 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,6.5,Median Homeless History Index =  6.5,AdultsEntered,10,10,0,8,AdultsMovedIn,8 increased income during their stay / 10 adults who moved into the project's housing = 80%,0.8,11,11,0,2820 average days,ClientsMovedInLeavers,0,NA,NA,1,0.5,6,1 considered to be long-term homeless / 2 adults entered the project during the reporting period = 50%,AdultsEntered,10,0,AdultMovedInLeavers,2,2 exited with benefits or health insurance / 2 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,2,AdultsEntered,2 coming from shelter or streets (unsheltered) / 2 adults who entered the project during the reporting period = 100%,1,10,10,0,167,167,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Ashtabula - MHRSB - Ashtabula SPC Vouchers - PSH,0,ClientsServed,0,5,0 errors / 100 clients served = 0%,5,21,AdultsEntered,21 had no income at entry / 22 adults who entered the project during the reporting period = 95%,0.9545454545454546,10,10,0,96,96 exits to permanent housing or retention in PSH / 96 heads of household = 100%,1,12,12,0,HoHsServedLeavers,22,22 had a VI-SPDAT score at entry / 22 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,4,Median Homeless History Index =  4,AdultsEntered,8,10,0,47,AdultsMovedIn,47 increased income during their stay / 93 adults who moved into the project's housing = 51%,0.5053763440860215,11,11,0,831 average days,ClientsMovedInLeavers,0,NA,NA,6,0.2727272727272727,2,6 considered to be long-term homeless / 22 adults entered the project during the reporting period = 27%,AdultsEntered,10,0,AdultMovedInLeavers,18,18 exited with benefits or health insurance / 18 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,22,AdultsEntered,22 coming from shelter or streets (unsheltered) / 22 adults who entered the project during the reporting period = 100%,1,10,10,0,170,170,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Warren SPC Combined,1,ClientsServed,0.022222222222222223,3,1 errors / 45 clients served = 2%,5,5,AdultsEntered,5 had no income at entry / 11 adults who entered the project during the reporting period = 45%,0.45454545454545453,0,10,1,41,41 exits to permanent housing or retention in PSH / 40 heads of household = 102%,1.025,12,12,0,HoHsServedLeavers,8,8 had a VI-SPDAT score at entry / 11 heads of household who entered the project during the reporting period = 73%,0.7272727272727273,0,HoHsEntered,5,0,4,Median Homeless History Index =  4,AdultsEntered,8,10,0,20,AdultsMovedIn,20 increased income during their stay / 41 adults who moved into the project's housing = 49%,0.4878048780487805,0,11,1,1618 average days,ClientsMovedInLeavers,0,NA,NA,5,0.45454545454545453,4,5 considered to be long-term homeless / 11 adults entered the project during the reporting period = 45%,AdultsEntered,10,0,AdultMovedInLeavers,3,3 exited with benefits or health insurance / 4 adult leavers who moved into the project's housing = 75%,0.75,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,10,AdultsEntered,10 coming from shelter or streets (unsheltered) / 11 adults who entered the project during the reporting period = 91%,0.9090909090909091,10,10,0,208,3006,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Licking - Licking County Coalition for Housing - LCCH - TH,2,ClientsServed,0.013888888888888888,4,2 errors / 144 clients served = 1%,5,25,AdultsEntered,25 had no income at entry / 45 adults who entered the project during the reporting period = 56%,0.5555555555555556,10,10,0,33,33 exits to permanent housing / 55 heads of household leavers = 60%,0.6,0,10,0,HoHsServedLeavers,36,36 had a VI-SPDAT score at entry / 38 heads of household who entered the project during the reporting period = 95%,0.9473684210526315,2,HoHsEntered,5,0,3,Median Homeless History Index =  3,AdultsEntered,8,10,0,21,AdultsMovedIn,21 increased income during their stay / 86 adults who moved into the project's housing = 24%,0.2441860465116279,5,10,0,306 average days,ClientsMovedInLeavers,0,10,0,6,0.13333333333333333,0,6 considered to be long-term homeless / 45 adults entered the project during the reporting period = 13%,AdultsEntered,NA,0,AdultMovedInLeavers,50,50 exited with benefits or health insurance / 52 adult leavers who moved into the project's housing = 96%,0.9615384615384616,10,10,0,HoHsMovedInLeavers,23,23 exited to their own permanent housing / 40 heads of household leavers who moved into housing = 57%,0.575,0,5,0,42,AdultsEntered,42 coming from shelter or streets (unsheltered) / 45 adults who entered the project during the reporting period = 93%,0.9333333333333333,10,10,0,251,251,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,Lorain - YWCA of Elyria - Women In Secure Housing - PSH,1,ClientsServed,0.05,3,1 errors / 20 clients served = 5%,5,3,AdultsEntered,3 had no income at entry / 6 adults who entered the project during the reporting period = 50%,0.5,0,10,1,19,19 exits to permanent housing or retention in PSH / 19 heads of household = 100%,1,0,12,1,HoHsServedLeavers,4,4 had a VI-SPDAT score at entry / 5 heads of household who entered the project during the reporting period = 80%,0.8,0,HoHsEntered,5,1,2,Median Homeless History Index =  2,AdultsEntered,0,10,1,7,AdultsMovedIn,7 increased income during their stay / 15 adults who moved into the project's housing = 47%,0.4666666666666667,0,11,1,923 average days,ClientsMovedInLeavers,0,NA,NA,0,0,0,0 considered to be long-term homeless / 6 adults entered the project during the reporting period = 0%,AdultsEntered,10,1,AdultMovedInLeavers,6,6 exited with benefits or health insurance / 6 adult leavers who moved into the project's housing = 100%,1,0,12,1,HoHsMovedInLeavers,0,,NA,0,NA,NA,6,AdultsEntered,6 coming from shelter or streets (unsheltered) / 6 adults who entered the project during the reporting period = 100%,1,0,10,1,257,257,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Miami - Tri-County Board of Recovery & Mental Health Services - Miami County SPC - PSH,9,ClientsServed,0.6923076923076923,0,9 errors / 13 clients served = 69%,5,2,AdultsEntered,2 had no income at entry / 3 adults who entered the project during the reporting period = 67%,0.6666666666666666,10,10,0,9,9 exits to permanent housing or retention in PSH / 10 heads of household = 90%,0.9,12,12,0,HoHsServedLeavers,1,1 had a VI-SPDAT score at entry / 3 heads of household who entered the project during the reporting period = 33%,0.3333333333333333,0,HoHsEntered,5,0,5,Median Homeless History Index =  5,AdultsEntered,9,10,0,4,AdultsMovedIn,4 increased income during their stay / 9 adults who moved into the project's housing = 44%,0.4444444444444444,11,11,0,219 average days,ClientsMovedInLeavers,0,NA,NA,0,0,0,0 considered to be long-term homeless / 3 adults entered the project during the reporting period = 0%,AdultsEntered,10,0,AdultMovedInLeavers,7,7 exited with benefits or health insurance / 7 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,2,AdultsEntered,2 coming from shelter or streets (unsheltered) / 3 adults who entered the project during the reporting period = 67%,0.6666666666666666,0,10,0,301,301,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Delaware - The Salvation Army - Permanent Supportive Housing for Families - PSH,14,ClientsServed,0.3333333333333333,0,14 errors / 42 clients served = 33%,5,2,AdultsEntered,2 had no income at entry / 4 adults who entered the project during the reporting period = 50%,0.5,10,10,0,12,12 exits to permanent housing or retention in PSH / 12 heads of household = 100%,1,12,12,0,HoHsServedLeavers,3,3 had a VI-SPDAT score at entry / 3 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,1.5,Median Homeless History Index =  1.5,AdultsEntered,2,10,0,14,AdultsMovedIn,14 increased income during their stay / 21 adults who moved into the project's housing = 67%,0.6666666666666666,11,11,0,386 average days,ClientsMovedInLeavers,0,NA,NA,0,0,0,0 considered to be long-term homeless / 4 adults entered the project during the reporting period = 0%,AdultsEntered,10,0,AdultMovedInLeavers,2,2 exited with benefits or health insurance / 4 adult leavers who moved into the project's housing = 50%,0.5,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,4,AdultsEntered,4 coming from shelter or streets (unsheltered) / 4 adults who entered the project during the reporting period = 100%,1,10,10,0,332,332,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Knox - Knox MHA - Knox County TRA - PSH,0,ClientsServed,0,5,0 errors / 62 clients served = 0%,5,10,AdultsEntered,10 had no income at entry / 17 adults who entered the project during the reporting period = 59%,0.5882352941176471,10,10,0,27,27 exits to permanent housing or retention in PSH / 28 heads of household = 96%,0.9642857142857143,12,12,0,HoHsServedLeavers,8,8 had a VI-SPDAT score at entry / 15 heads of household who entered the project during the reporting period = 53%,0.5333333333333333,0,HoHsEntered,5,0,3,Median Homeless History Index =  3,AdultsEntered,8,10,0,12,AdultsMovedIn,12 increased income during their stay / 34 adults who moved into the project's housing = 35%,0.35294117647058826,11,11,0,443 average days,ClientsMovedInLeavers,0,NA,NA,4,0.23529411764705882,2,4 considered to be long-term homeless / 17 adults entered the project during the reporting period = 24%,AdultsEntered,10,0,AdultMovedInLeavers,10,10 exited with benefits or health insurance / 11 adult leavers who moved into the project's housing = 91%,0.9090909090909091,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,17,AdultsEntered,17 coming from shelter or streets (unsheltered) / 17 adults who entered the project during the reporting period = 100%,1,10,10,0,369,369,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Athens - Athens MHA - Athens Serenity Village SAMI Shelter Plus Care - PSH,0,ClientsServed,0,5,0 errors / 5 clients served = 0%,5,0,AdultsEntered,All points granted because 0 adults entered this project during the reporting period,NaN,10,10,0,5,5 exits to permanent housing or retention in PSH / 5 heads of household = 100%,1,12,12,0,HoHsServedLeavers,1,All points granted because 0 households entered the project during the reporting period,NA,5,HoHsEntered,5,0,NA,All points granted since 0 adults entered this project during the reporting period,AdultsEntered,10,10,0,4,AdultsMovedIn,4 increased income during their stay / 5 adults who moved into the project's housing = 80%,0.8,11,11,0,All points granted because this project had 0 leavers who moved into the project's housing,ClientsMovedInLeavers,0,NA,NA,0,NA,10,All points granted because 0 adults entered this project during the reporting period,AdultsEntered,10,NA,AdultMovedInLeavers,0,All points granted because this project had no adult leavers who moved into the project's housing,NaN,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,0,AdultsEntered,All points granted because this project has 0 adults who entered the project,NaN,10,10,0,376,376,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
